pid,fig,png,mode,ink,kind,cut_id,axis,depth,gap,gap_px,half_a,half_b,box,selected_x,run_len,longest,tie,reason,candidates,n_free,n_clipped,selected_run,search_to,need_overlap,orphan,w,h,outcome,n_candidates,nearest,relation,n_opposite,n_nested,opposite,nested,lineage,panel,cut_axis,side,accepted,c_data_no_axis,c_rows,c_caption,c_baseline,c_coords,c_regular,why_data_no_axis,why_rows,why_caption,why_baseline,why_coords,why_regular,reach,grown,score,n_rows,rule,measured,threshold,detail,axis_status,axis_from,spine_x,baseline_y,status,n_labels,n_bars,fragment,source
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,1,row,0,405-442,37,"0,1142,0,423","0,1142,423,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,2,col,1,560-624,64,"0,592,0,423","592,1142,0,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,3,col,2,153-184,31,"0,168,0,423","168,592,0,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,4,row,3,110-139,29,"0,168,0,124","0,168,124,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,5,row,3,251-339,88,"168,592,0,295","168,592,295,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,6,col,2,670-702,32,"592,686,0,423","686,1142,0,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,7,row,3,113-142,29,"592,686,0,127","592,686,127,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,8,row,3,292-337,45,"686,1142,0,314","686,1142,314,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,9,row,1,756-791,35,"0,1142,423,773","0,1142,773,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,10,col,2,577-619,42,"0,598,423,773","598,1142,423,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,11,row,3,628-662,34,"0,598,423,645","0,598,645,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,12,col,3,678-709,31,"598,693,423,773","693,1142,423,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,13,row,2,1419-1437,18,"0,1142,773,1428","0,1142,1428,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,14,col,3,578-613,35,"0,595,773,1428","595,1142,773,1428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,CUT,15,col,3,148-161,13,"0,154,1428,1460","154,1142,1428,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,,,,,,,"709,1086,441,748",1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1077:147px;913:122px;912:122px;1045:120px;1044:120px;979:116px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,,,,,,,"709,1086,441,748",1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1077:147px;913:122px;912:122px;1045:120px;1044:120px;979:116px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,,,,,,,"709,1081,174,292",841,98,98,0.95,leftmost column whose run is >= 0.95 of the longest (98 px),842:98px;841:98px;875:77px;1009:72px;1008:72px;942:70px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,,,,,,,"723,1086,829,990",923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),923:109px;924:108px;1054:96px;1053:96px;956:95px;1021:69px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,140,AXIS_FALLBACK,,,,,,,,"711,1086,1155,1323",921,106,106,0.95,leftmost column whose run is >= 0.95 of the longest (106 px),922:106px;921:106px;957:94px;956:94px;991:80px;990:80px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
